,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1)
0,0.211864406779661,0.5118449389806174,0.18553459119496857,0.36209721463681044,0.11103588354773188,0.3108852181279119,0.32840236686390534,0.5130395683453237,0.45482189400521283,0.33333333333333337,0.49937106918238994,0.2800664614181694
1,0.16101694915254236,0.46302943287867915,0.14622641509433962,0.312397596941562,0.06838185511171292,0.36086404066073696,0.26627218934911245,0.45323741007194246,0.3262380538662033,0.32688172043010755,0.48427672955974854,0.2642818746029419
2,0.17796610169491525,0.5419956927494616,0.139937106918239,0.30365920262151824,0.0873392010832769,0.34646336298178737,0.33136094674556216,0.45143884892086333,0.3705473501303214,0.2967741935483871,0.5635220125786164,0.276352440991057
3,0.17796610169491525,0.5233309404163676,0.1430817610062893,0.30857454942654283,0.11509817197020987,0.3261329944938585,0.3550295857988166,0.46447841726618705,0.4265855777584709,0.2774193548387097,0.638993710691824,0.29418951277916233
4,0.1271186440677966,0.4486719310839914,0.10062893081761007,0.24740578918623699,0.0873392010832769,0.373994070309191,0.33727810650887574,0.4222122302158274,0.3861859252823632,0.2817204301075269,0.6339622641509435,0.2952157552656013
5,0.09322033898305083,0.3948312993539125,0.07232704402515723,0.20043691971600217,0.058903182125930945,0.4299025836509954,0.2781065088757397,0.3785971223021583,0.31624674196351,0.2817204301075269,0.628930817610063,0.29326100767238433
6,0.09322033898305083,0.38621679827709987,0.055031446540880505,0.16766794101583835,0.04062288422477996,0.48284625158831,0.22189349112426035,0.3516187050359712,0.2224152910512598,0.28387096774193554,0.5987421383647799,0.28128817866392997
7,0.07627118644067796,0.3510409188801149,0.05031446540880503,0.15783724740578917,0.04062288422477996,0.47903430749682335,0.21893491124260353,0.3516187050359712,0.22111207645525627,0.2709677419354839,0.638993710691824,0.28612617895714215
8,0.06779661016949153,0.32089016511127066,0.03459119496855346,0.12342981977061715,0.029113067027758968,0.5324015247776366,0.17159763313609466,0.3259892086330935,0.17332754126846223,0.2709677419354839,0.6352201257861636,0.28348726970629917
9,0.0423728813559322,0.2605886575735822,0.025157232704402514,0.09721463681048606,0.020988490182802976,0.5857687420584499,0.1331360946745562,0.3075539568345324,0.12163336229365768,0.2623655913978495,0.6415094339622642,0.2770854713385134
10,0.04661016949152542,0.2613065326633166,0.01886792452830189,0.07864554888039324,0.012863913337846986,0.6336298178737823,0.09467455621301775,0.2904676258992806,0.09730668983492616,0.25806451612903225,0.6452830188679246,0.2745442994673313
11,0.05084745762711864,0.3007896625987079,0.015723270440251576,0.07045330420535226,0.00947867298578199,0.675984752223634,0.07692307692307691,0.2837230215827338,0.08731537793223285,0.2774193548387097,0.5911949685534592,0.26970629917411915
12,0.05084745762711864,0.2907394113424264,0.02358490566037736,0.09284543965046424,0.021665538253215978,0.5997458703939009,0.13609467455621302,0.30125899280575547,0.10903562119895743,0.2666666666666667,0.6150943396226416,0.26907100620632357
13,0.0847457627118644,0.35678391959798994,0.04874213836477988,0.15510649918077554,0.06499661475964792,0.49470563320626854,0.23668639053254437,0.3543165467625899,0.22111207645525627,0.2602150537634409,0.6339622641509435,0.27219860235547083
14,0.16101694915254236,0.49246231155778897,0.12421383647798742,0.2823593664664118,0.11645226811103587,0.3447691656077933,0.3254437869822485,0.43435251798561153,0.3827106863596872,0.27311827956989254,0.6062893081761007,0.271758784146997
15,0.17796610169491525,0.5053840631730079,0.14779874213836477,0.3151283451665756,0.0859851049424509,0.3206268530283778,0.29289940828402367,0.4640287769784173,0.35056472632493485,0.2666666666666667,0.6465408805031447,0.2855886233690075
16,0.13559322033898302,0.4206748025843503,0.09748427672955974,0.24249044238121245,0.07447528774542991,0.3795002117746717,0.28402366863905326,0.4024280575539569,0.2775847089487402,0.27311827956989254,0.618867924528302,0.2787958754825783
